run_accession	study_accession	experiment_alias	fastq_ftp
SRR20011277	PRJNA856341	W12_SV3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/077/SRR20011277/SRR20011277_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/077/SRR20011277/SRR20011277_2.fastq.gz
SRR20011361	PRJNA856341	W8_NTC6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/061/SRR20011361/SRR20011361_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/061/SRR20011361/SRR20011361_2.fastq.gz
SRR20011364	PRJNA856341	W8_NTC3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/064/SRR20011364/SRR20011364_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/064/SRR20011364/SRR20011364_2.fastq.gz
SRR20011367	PRJNA856341	W0_NTC2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/067/SRR20011367/SRR20011367_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/067/SRR20011367/SRR20011367_2.fastq.gz
SRR20011279	PRJNA856341	W12_SV1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/079/SRR20011279/SRR20011279_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/079/SRR20011279/SRR20011279_2.fastq.gz
SRR20011287	PRJNA856341	W24_SP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/087/SRR20011287/SRR20011287_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/087/SRR20011287/SRR20011287_2.fastq.gz
SRR20011288	PRJNA856341	W24_SP5	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/088/SRR20011288/SRR20011288_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/088/SRR20011288/SRR20011288_2.fastq.gz
SRR20011292	PRJNA856341	W24_SP1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/092/SRR20011292/SRR20011292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/092/SRR20011292/SRR20011292_2.fastq.gz
SRR20011293	PRJNA856341	W24_SV6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/093/SRR20011293/SRR20011293_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/093/SRR20011293/SRR20011293_2.fastq.gz
SRR20011295	PRJNA856341	W0_PP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/095/SRR20011295/SRR20011295_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/095/SRR20011295/SRR20011295_2.fastq.gz
SRR20011296	PRJNA856341	W24_SV4	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/096/SRR20011296/SRR20011296_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/096/SRR20011296/SRR20011296_2.fastq.gz
SRR20011301	PRJNA856341	W24_PP6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/001/SRR20011301/SRR20011301_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR200/001/SRR20011301/SRR20011301_2.fastq.gz
